PageNum,Context,TaskType,Question,Answer
27,"2.3 Operators or agents of non-scheduled, commercial and non-commercial flights shall submit their slot requests to the Changi Slot Coordinator no earlier than 7 calendar days and but no later than 24 hours prior to the operation of the flight, for which the slot will be utilized",1,When is the earliest date for operators of non-commercial flights to submit their slot requests?,no earlier than 7 calendar days prior to operation
,,1,Who should operators of commercial flights submit their slot requests to?,The Changi Slot Coordinator
27,"2.5 For urgent non-scheduled, commercial and non-commercial flight operations that are less than 24 hours from the proposed date of operation, in addition to submitting the SCR/GCR, operators/agents must also inform the Airside Operations Section of CAG (Airside Management Centre) at +65 6603 4906 / +65 6541 2275 / 65 6541 2273.",9,What should operators do for urgent flight operations that are less than 24 hours from the proposed date of operation?,"in addition to submitting the SCR/GCR, operators/agents must also inform the Airside Operations Section of CAG (Airside Management Centre)"
,,1,What are the contact numbers for the Airside Operations Section of CAG?,+65 6603 4906 / +65 6541 2275 / 65 6541 2273
28,"3.1 Seletar Airport is a schedules facilitated airport, with Changi Airport Group (CAG) as the Seletar Schedules Facilitator. To ensure efficiency of aircraft operations and optimisation of airport resources, all operators of non-scheduled (commercial and non-commercial) flights must submit details of their planned operations to the Seletar Schedules Facilitator prior to these operations. Operators shall also be prepared to make adjustments to their schedules when necessary as advised by the Seletar Schedules Facilitator to ensure that airport capacity parameters are not exceeded. In addition, all operators of scheduled flights must obtain slots from the Seletar Schedules Facilitator prior to the operation of such flights. No operation will be permitted without the approval of the Seletar Schedules Facilitator.",1,Who is the Seletar Schedules Facilitator?,Changi Airport Group 
,,1,Which operations are permitted without the approval of the Seletar Schedules Facilitator?,No operation will be permitted without the approval of the Seletar Schedules Facilitator
,,1,Why would operators need to make adjustments to their schedules?,to ensure that airport capacity parameters are not exceeded
28,"3.4 Operators or agents shall include the following details of the flight operations in their submission: Name of operator and appointed ground handling agent; Date and time of arrival and departure (in local time); Aircraft type and seat capacity; Origin and destination; Aircraft registration number; and Purpose of flight (e.g. business aviation; general aviation; cargo; maintenance, repair and operations (MRO); etc.).",8,What details need to be submitted for slots application at Seletar Airport?,"Name of operator and appointed ground handling agent; Date and time of arrival and departure (in local time); Aircraft type and seat capacity; Origin and destination; Aircraft registration number; and Purpose of flight (e.g. business aviation; general aviation; cargo; maintenance, repair and operations (MRO); etc.)"
28,"3.8.1 To optimise the use of capacity, training and non-training flights will be segregated through designated hours for training flights. Non-training flights will not be permitted at Seletar Airport during the following periods from Tuesdays to Sundays: 0130 to 0230 UTC / 0930 to 1030 LT; 0400 to 0500 UTC / 1200 to 1300 LT; 0700 to 0800 UTC / 1500 to 1600 LT; and 0900 to 1000 UTC / 1700 to 1800 LT.",8,When will non-training flights be restricted at Seletar Airport?,Tuesdays to Sundays
29,"4.2.5 Airline operators are to ensure that a copy of the following documents, which are to remain valid during the period of operations, are lodged with CAAS: a. Certificate(s) of Registration(s) for aircraft used; b. Certificate(s) of Airworthiness for aircraft used; and c. Air Operator’s Certificate",8,Which documents need to be lodged with CAAS to apply for scheduled flights?,a. Certificate(s) of Registration(s) for aircraft used; b. Certificate(s) of Airworthiness for aircraft used; and c. Air Operator’s Certificate
